Wavelength,d45_Reflectance,d_Reflectance,v45_Reflectance,v_Reflectance
512.37,1.03,8.85,7.23,17.99
512.715,1.03,8.86,7.23,18.12
513.061,1,8.81,7.22,18.16
513.407,1,8.82,7.23,18.27
513.753,0.98,8.88,7.19,18.4
514.099,1,8.89,7.17,18.52
514.445,1.03,8.91,7.15,18.67
514.791,1.03,8.9,7.1,18.79
515.136,1.03,8.92,7.06,18.9
515.482,1.04,8.96,7.08,19.04
515.828,1.07,8.99,7.04,19.14
516.173,1.1,9.02,7.05,19.24
516.519,1.07,9.05,7.05,19.41
516.864,1.07,9.1,7.08,19.49
517.21,1.04,9.14,7.1,19.66
517.555,1.05,9.16,7.12,19.76
517.901,1.08,9.19,7.12,19.89
518.246,1.07,9.23,7.12,20.02
518.591,1.07,9.2,7.1,20.13
518.937,1.09,9.25,7.11,20.24
519.282,1.11,9.29,7.09,20.38
519.627,1.1,9.32,7.08,20.5
519.972,1.1,9.36,7.07,20.65
520.318,1.11,9.38,7.06,20.78
520.663,1.11,9.38,7.02,20.89
521.008,1.12,9.44,7.02,21.04
521.353,1.15,9.49,7.02,21.18
521.698,1.14,9.46,6.97,21.28
522.043,1.18,9.51,6.94,21.44
522.388,1.17,9.51,6.91,21.62
522.733,1.16,9.51,6.92,21.76
523.077,1.17,9.58,6.95,21.94
523.422,1.17,9.61,6.95,22.13
523.767,1.16,9.61,6.9,22.27
524.112,1.15,9.71,6.9,22.55
524.456,1.16,9.74,6.91,22.76
524.801,1.19,9.83,6.95,22.97
525.146,1.2,9.97,6.93,23.26
525.49,1.22,10.08,6.99,23.73
525.835,1.23,10.33,7.09,24.31
526.179,1.26,10.57,7.26,25.08
526.524,1.3,10.79,7.43,25.87
526.868,1.32,11.06,7.57,26.61
527.213,1.34,11.28,7.68,27.4
527.557,1.37,11.47,7.83,28.05
527.901,1.4,11.58,7.89,28.41
528.245,1.4,11.59,7.91,28.64
528.59,1.4,11.62,7.89,28.65
528.934,1.39,11.56,7.83,28.51
529.278,1.38,11.43,7.76,28.35
529.622,1.37,11.37,7.68,28.13
529.966,1.37,11.29,7.6,27.95
530.31,1.36,11.31,7.55,27.96
530.654,1.38,11.32,7.5,28
530.998,1.36,11.32,7.41,28.06
531.342,1.37,11.34,7.35,28.12
531.686,1.37,11.36,7.3,28.17
532.03,1.38,11.33,7.25,28.18
532.374,1.37,11.29,7.17,28.17
532.717,1.35,11.19,7.07,28.04
533.061,1.36,11.11,6.98,27.93
533.405,1.36,11.05,6.94,27.81
533.748,1.37,11,6.87,27.78
534.092,1.36,10.95,6.82,27.74
534.436,1.34,10.91,6.76,27.78
534.779,1.36,10.94,6.7,27.84
535.123,1.39,10.95,6.7,27.99
535.466,1.36,10.97,6.69,28.1
535.81,1.38,10.94,6.67,28.27
536.153,1.39,10.94,6.65,28.37
536.496,1.42,10.98,6.63,28.54
536.84,1.45,11.02,6.61,28.69
537.183,1.45,11.01,6.62,28.92
537.526,1.46,11.06,6.55,29.15
537.869,1.49,11.08,6.56,29.42
538.212,1.51,11.14,6.56,29.81
538.555,1.52,11.23,6.55,30.32
538.899,1.55,11.32,6.57,30.98
539.242,1.57,11.47,6.65,31.75
539.585,1.58,11.58,6.7,32.52
539.928,1.62,11.68,6.79,33.46
540.27,1.67,11.79,6.82,34.34
540.613,1.71,11.89,6.87,35.16
540.956,1.77,11.96,6.93,35.98
541.299,1.79,11.98,6.95,36.6
541.642,1.83,11.96,6.93,37.23
541.984,1.88,11.98,6.94,37.76
542.327,1.93,11.99,6.95,38.19
542.67,1.96,12.03,6.97,38.68
543.012,1.99,12.06,6.96,39.25
