Day,Pair,Flower,Treatment,File Name,Block,scale bar (pixel),scale bar (mm),flower width (mm),Flower width (pixels),Genus,gender,length(pixels),length(mm),land,start,stop,duration(s),nectar,pollen,attack,Notes,File Location
1,2,18,treated,DSC_0006,b,123,12.7,23.95,232,no bees,,,,,,,0.00,,,,"petals intact, anthers not apparent. petals with some curl. beetle in the center of the flower, anthers dehiss during trial",
1,3,3,control,DSC_0007,a,108,12.7,27.40,233,no bees,,,0.00,,,,0.00,,,no,"petals intact, anthers not apparent",
1,3,20,treated,MVI_9695,a,92,12.7,26.37,191,no bees,,,0.00,,,,0.00,,,,"petals intact, anthers clearly visible, beetle in the center of the flower",
1,3,12,treated,MVI_9696,b,94,12.7,23.24,172,melissodes,female,94,12.70,yes,1984425,1984465,1.33,yes,yes,no,"bottom two petals missing, other petals intact, anthers clearly visible, beetle in the center of the flower, landed on beetle",
1,3,7,control,DSC_0008,b,94,12.7,26.35,195,melissodes,female,108,14.59,yes,934,943,0.30,yes,no,no,"petals intact, anthers clearly visible",
1,4,14,treated,DSC_0011,a,92,12.7,24.43,177,no bees,,,0.00,,,,0.00,,,,,
1,4,7,control,MVI_9697,a,98,12.7,22.68,175,no bees,,,0.00,,,,0.00,,,no,,
1,4,5,treated,MVI_9698,b,87,12.7,29.93,205,beetle left,,,0.00,,2028922,2041746,427.47,,,,"petals with some white streaks, anthers not apparent",
1,4,5,treated,MVI_9698,b,87,12.7,29.93,205,no bees,,,0.00,,,,0.00,,,,,
1,4,17,control,DSC_0012,b,68,12.7,32.87,176,Andrena,female,99,18.49,no,382,396,0.47,no,no,no,"petals intact, anthers not apparent",
1,4,17,control,DSC_0012,b,68,12.7,32.87,176,beetle left on treated,,,0.00,,5264,,-175.47,,,no,,
1,4,17,control,DSC_0012,b,68,12.7,32.87,176,melissodes,female,97,18.12,no,12450,12464,0.47,no,no,no,,
1,4,17,control,DSC_0012,b,68,12.7,32.87,176,melissodes,female,89,16.62,yes,16772,16786,0.47,yes,no,no,,
1,5,19,control,DSC_0013,a,124,12.7,20.38,199,Andrena,female,134,13.72,no,3540,3551,0.37,no,no,no,"petals intact, pollen visible on anthers",
1,5,17,treated,MVI_9699,a,173,12.7,18.87,257,no bees,,,0.00,,,,0.00,,,,,
1,5,16,control,MVI_9700,b,108,12.7,21.40,182,melissodes,female,101,11.88,yes,2065140,2065147,0.23,no,no,no,,
1,5,16,control,MVI_9700,b,108,12.7,21.40,182,bombus,female,112,13.17,no,2079011,2079033,0.73,no,no,no,,
1,5,19,treated,DSC_0014,b,100,12.7,29.08,229,no bees,,,0.00,,,,0.00,,,,"petals intact, anthers clearly visible, beetle in the center of the flower",
1,6,18,control,DSC_0016,a,128,12.7,24.90,251,no bees,,,0.00,,,,0.00,,,no,"petals with some curl, one anther clearly visible with pollen",
1,6,15,treated,MVI_9702,a,88,12.7,24.25,168,Andrena,female,88,12.70,yes,2101958,2102019,2.03,yes,yes,yes,"petals intact, beetle at 7 oclock, anthers with visible pollen",
1,6,15,treated,MVI_9702,a,88,12.7,24.25,168,Andrena,female,97,14.00,yes,2109038,2109051,0.43,no,no,no,,
1,6,9,treated,MVI_9703,b,78,12.7,26.54,163,melissodes,male,84,13.68,no,2116627,2116633,0.20,no,no,,"missing several petals, anthers with visible pollen, beetle crawls from back to fron in the opening seconds",
1,6,9,treated,MVI_9703,b,78,12.7,26.54,163,melissodes,male,69,11.23,no,2117913,2117922,0.30,no,no,,greatly increased background activity ,
1,6,20,control,DSC_0017,b,112,12.7,32.09,283,no bees,,,0.00,,,,0.00,,,no,"Petals intact, no visible anthers, many bees in the background",
1,7,11,control,DSC_0019,a,94,12.7,27.16,201,Andrena,female,119,16.08,yes,8415,8424,0.30,no,no,no,"petals intact, stigma clearly visible, anthers not apparent",
1,7,11,control,DSC_0019,a,94,12.7,27.16,201,Andrena,female,118,15.94,no,10490,10503,0.43,no,no,no,,
1,7,11,control,DSC_0019,a,94,12.7,27.16,201,Andrena,female,118,15.94,yes,10629,10637,0.27,no,no,no,,
1,7,13,treated,MVI_9705,a,77,12.7,24.08,146,beetle left,,,0.00,,2138631,2147899,308.93,,,,,
1,7,4,control,MVI_9706,b,107,12.7,24.69,208,melissodes,male,97,11.51,no,2156483,2156490,0.23,no,no,no,"petals intact, anthers clearly visible",
1,7,4,control,MVI_9706,b,107,12.7,24.69,208,beetle left on treated,,,0.00,,2163005,2165885,96.00,no,no,no,"petals intact, anthers not apparent",
1,7,8,treated,DSC_0020,b,177,12.7,18.87,263,melissodes,female,150,10.76,yes,876,881,0.17,no,no,no,"petals intact, anthers not apparent",
1,7,8,treated,DSC_0020,b,177,12.7,18.87,263,lithurgus,female,188,13.49,no,7430,7439,0.30,no,no,,,
1,7,8,treated,DSC_0020,b,177,12.7,18.87,263,melissodes,male,135,9.69,no,8488,8493,0.17,no,no,,,
1,7,8,treated,DSC_0020,b,177,12.7,18.87,263,beetle left,,,0.00,,15012,17988,99.20,,,,,
1,8,12,treated,DSC_0021,a,120,12.7,22.97,217,beetle left,,,0.00,,924,18005,569.37,,,,,
1,8,5,control,MVI_9707,a,117,12.7,24.75,228,beetle left on treated,,,0.00,,2168540,2185621,569.37,,,no,,
1,8,2,treated,DSC_0022,b,102,12.7,24.28,195,melissodes,female,133,16.56,yes,13795,13803,0.27,no,no,no,"petals intact, oriented towards camera, anthers not clearly visible",
1,8,3,control,MVI_9708,b,133,12.7,21.87,229,no bees ,,,0.00,,,,0.00,,,no,"petals intact, oriented towards camera, anthers not clearly visible",
1,9,4,treated,MVI_9709,a,94,12.7,28.24,209,lithurgus,female,141,19.05,no,2222845,2222869,0.80,no,no,,"petals intact, anthers not apparent",
1,9,4,treated,MVI_9709,a,94,12.7,28.24,209,lithurgus,female,132,17.83,no,2224573,2224585,0.40,no,no,,,
1,9,4,treated,MVI_9709,a,94,12.7,28.24,209,bombus,female,127,17.16,yes,2227927,2228058,4.37,yes,no,no,antenation of beetles,
1,9,4,treated,MVI_9709,a,94,12.7,28.24,209,lithurgus,female,133,17.97,no,2229537,2229543,0.20,no,no,,,
1,9,8,control,DSC_0023,a,118,12.7,24.22,225,no bees,,,0.00,,,,0.00,,,no,"petials intact, anthers not apparent",
1,9,14,treated,MVI_9710,b,89,12.7,27.11,190,no bees,,,0.00,,,,0.00,,,,"petals intact, anthers not apparent",
1,9,13,control,DSC_0025,b,149,12.7,23.52,276,no bees,,,0.00,,,,0.00,,,no,"petals intact, some browning, anthers not apparent",
1,10,1,treated,DSC_0026,a,159,12.7,24.60,308,melissodes,male,193,15.42,no,7111,7115,0.13,no,no,,"flower intact, camera close",
