Day,Pair,Flower,Treatment,File Name,Block,scale bar (pixel),scale bar (mm),flower width (mm),Flower width (pixels),Genus,sex,length(pixels),length(mm),land,start,stop,duration(s),nectar,pollen,attack,Notes,File Location
3,7,6,treated,MVI_4742,b,95,12.7,28.74,215,Melissodes,male,77,10.29,no,691,704,0.43,no,no,no,"petals intact, pollen on anthers, ambush bug at 7 o'clock",
3,7,6,treated,MVI_4742,b,95,12.7,28.74,215,Melissodes,male,75,10.03,no,946,963,0.57,no,no,no,,
3,7,6,treated,MVI_4742,b,95,12.7,28.74,215,Melissodes,male,84,11.23,no,1548,1561,0.43,no,no,no,,
3,7,6,treated,MVI_4742,b,95,12.7,28.74,215,Melissodes,male,88,11.76,no,3501,3508,0.23,no,no,no,nearly makes contact with ambush bug,
3,7,6,treated,MVI_4742,b,95,12.7,28.74,215,Melissodes,male,92,12.3,no,5486,5493,0.23,no,no,no,,
3,7,6,treated,MVI_4742,b,95,12.7,28.74,215,Melissodes,male,81,10.83,yes,9189,9199,0.33,no,no,no,,
3,7,6,treated,MVI_4742,b,95,12.7,28.74,215,Melissodes,male,82,10.96,yes,10834,10867,1.1,yes,no,no,,
3,7,6,treated,MVI_4742,b,95,12.7,28.74,215,Melissodes,male,96,12.83,no,10847,10853,0.2,no,no,no,,
3,7,6,treated,MVI_4742,b,95,12.7,28.74,215,Melissodes,male,90,12.03,yes,12210,12234,0.8,yes,no,no,lands very close to ambush bug,
3,7,6,treated,MVI_4742,b,95,12.7,28.74,215,Melissodes,male,84,11.23,no,17078,17089,0.37,no,no,no,,
3,8,9,control,MVI_4743,a,80,12.7,28.73,181,Melissodes,male,90,14.29,no,7240,7348,3.6,no,no,no,"petals intact, one might be missing, lots of flight activity",
3,8,9,control,MVI_4743,a,80,12.7,28.73,181,red beetle,,,,,8730,8852,4.07,,,no,,
3,8,9,control,MVI_4743,a,80,12.7,28.73,181,Melissodes,male,NA,#VALUE!,no,15842,15846,0.13,no,no,no,,
3,8,1,treated,MVI_6804,a,117,12.7,22.47,207,Melissodes,male,83,9.01,no,1684202,1684218,0.53,no,no,no,"smaller flower, anthers with pollen, petals drooping slightly",
3,8,1,treated,MVI_6804,a,117,12.7,22.47,207,Melissodes,male,NA,#VALUE!,no,1685903,1685910,0.23,no,no,no,,
3,8,1,treated,MVI_6804,a,117,12.7,22.47,207,Melissodes,male,82,8.9,no,1688671,1688677,0.2,no,no,no,,
3,8,1,treated,MVI_6804,a,117,12.7,22.47,207,Lithurgus,female,110,11.94,no,1689479,1689491,0.4,no,no,no,,
3,8,1,treated,MVI_6804,a,117,12.7,22.47,207,Melissodes,male,97,10.53,no,1692521,1692527,0.2,no,no,no,,
3,8,1,treated,MVI_6804,a,117,12.7,22.47,207,Melissodes,male,74,8.03,no,1696763,1696778,0.5,no,no,no,,
3,8,1,treated,MVI_6804,a,117,12.7,22.47,207,Melissodes,male,87,9.44,no,1697034,1697054,0.67,no,no,no,,
3,8,1,treated,MVI_6804,a,117,12.7,22.47,207,Lasioglossum,male,46,4.99,yes,1698291,1698641,11.67,no,no,no,"small green, landed on petal",
3,8,5,treated,MVI_6805,b,110,12.7,25.17,218,Melissodes,male,94,10.85,no,1704036,1704042,0.2,no,no,no,,
3,8,5,treated,MVI_6805,b,110,12.7,25.17,218,Melissodes,male,101,11.66,no,1708621,1708626,0.17,no,no,no,,
3,8,5,treated,MVI_6805,b,110,12.7,25.17,218,Melissodes,male,91,10.51,no,1711439,1711446,0.23,no,no,no,,
3,8,5,treated,MVI_6805,b,110,12.7,25.17,218,Melissodes,male,85,9.81,no,1720513,1720519,0.2,no,no,no,,
3,8,5,treated,MVI_6805,b,110,12.7,25.17,218,Melissodes,male,102,11.78,no,1720846,1720853,0.23,no,no,no,,
3,8,17,control,MVI_4744,b,,12.7,24.93,231,Melissodes,male,91,9.82,no,5410,5426,0.53,no,no,no,,
3,8,17,control,MVI_4744,b,,12.7,24.93,231,Melissodes,male,93,10.04,no,15729,15737,0.27,no,no,no,,
3,8,17,control,MVI_4744,b,,12.7,24.93,231,Melissodes,male,87,9.39,no,16883,16894,0.37,no,no,no,,
3,9,8,control,MVI_4748,a,,12.7,25.34,237,Lithurgus,male,117,12.51,yes,3,172,5.63,yes,no,no,"intact flower, anthers with pollen, ",
3,9,8,control,MVI_4748,a,,12.7,25.34,237,Lithurgus,male,108,11.55,no,5774,5789,0.5,no,no,no,,
3,9,8,control,MVI_4748,a,,12.7,25.34,237,Lithurgus,female,114,12.19,no,6559,6568,0.3,no,no,no,,
3,9,4,treated,MVI_6810,a,,12.7,24.7,197,Melissodes,male,85,10.66,no,1761567,1761575,0.27,no,no,no,"intact flower, pollen on anthers, ambush bug with abdomen in the center pointing towards 7 o clock",
3,9,4,treated,MVI_6810,a,,12.7,24.7,197,Melissodes,male,82,10.28,no,1764861,1764870,0.3,no,no,no,made contact with ambush bug,
3,9,4,treated,MVI_6810,a,,12.7,24.7,197,Apis,female,107,13.42,yes,1770990,1774116,96.87,yes,no,no,"landed directly on ambush bug, moved the ambush bug",
3,9,4,treated,MVI_6810,a,,12.7,24.7,197,Melissodes,male,87,10.91,no,1773896,1773918,0.73,no,no,no,,
3,9,13,control,MVI_6811,b,,12.7,23.51,268,Melissodes,male,115,10.09,no,1782027,1782031,0.133333333,no,no,no,"petals drooping, flower looks like it needs to be watered",
3,9,14,treated,MVI_4749,b,,12.7,23.24,198,Melissodes,male,78,9.16,no,1363,1368,0.17,no,no,no,"petals with some minimal damage, erect, pollen on anthers. Ambush bug at 6 o clock",
3,9,14,treated,MVI_4749,b,,12.7,23.24,198,Apis,female,125,14.67,yes,2038,3374,44.53,yes,no,yes,"Lands on ambush bug, dies at stop time",
3,10,19,treated,MVI_4752,b,,12.7,28.03,178,Melissodes,male,60,9.45,no,2122,2131,0.3,no,no,no,"petals with some curl, no damage, pollen visible on anthers, ambush bug at 1 o clock",
3,10,19,treated,MVI_4752,b,,12.7,28.03,178,Melissodes,male,90,14.17,no,3157,3164,0.23,no,no,no,,
3,10,19,treated,MVI_4752,b,,12.7,28.03,178,Melissodes,male,64,10.08,no,9546,9563,0.57,no,no,no,,
3,10,19,treated,MVI_4752,b,,12.7,28.03,178,Melissodes,male,NA,#VALUE!,no,10525,10537,0.4,no,no,no,,
3,10,19,treated,MVI_4752,b,,12.7,28.03,178,Melissodes,male,82,12.91,no,16218,16227,0.3,no,no,no,,
3,10,16,control,MVI_6815,b,,12.7,27.18,156,Melissodes,male,72,12.54,no,1825691,1825695,0.13,no,no,no,"petals with slight curl, no herbivory, pollen not visible on anthers",
